[1010/003522.839:INFO:CONSOLE(0)] "The FetchEvent for "https://web.whatsapp.com/vendors~lazy_loaded_high_priority_components~lazy_loaded_low_priority_components.1d05419168028069f41f.js" resulted in a network error response: the promise was rejected.", source:  (0)
[1010/003522.840:INFO:CONSOLE(0)] "The FetchEvent for "https://web.whatsapp.com/lazy_loaded_high_priority_components~lazy_loaded_low_priority_components.e627abb0a44688088a10.js" resulted in a network error response: the promise was rejected.", source:  (0)
[1010/003522.840:INFO:CONSOLE(0)] "The FetchEvent for "https://web.whatsapp.com/lazy_loaded_high_priority_components.412aee599be057b687cc.css" resulted in a network error response: the promise was rejected.", source:  (0)
[1010/003522.865:INFO:CONSOLE(0)] "The FetchEvent for "https://web.whatsapp.com/lazy_loaded_high_priority_components.33acff24f5c4d806ed8a.js" resulted in a network error response: the promise was rejected.", source:  (0)
[1010/003522.865:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to fetch", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003522.865:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to fetch", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003522.865:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to fetch", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003522.865:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to fetch", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003523.166:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to execute 'put' on 'Cache': Partial response (status code 206) is unsupported", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003523.184:INFO:CONSOLE(1)] "Uncaught (in promise) TypeError: Failed to execute 'put' on 'Cache': Partial response (status code 206) is unsupported", source: https://web.whatsapp.com/serviceworker.js (1)
[1010/003848.044:INFO:CONSOLE(1)] "Another connection wants to delete database 'wawc_db_enc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.84c47298b7b7770a5c50.worker.js (1)
[1010/003848.046:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc_db_enc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~bootstrap_qr.209e2422be3255e9cea6.js (7)
[1010/003853.043:INFO:CONSOLE(1)] "Another connection wants to delete database 'model-storage'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.84c47298b7b7770a5c50.worker.js (1)
[1010/003853.045:INFO:CONSOLE(1)] "Another connection wants to delete database 'fts-storage'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/WAWebWorker.84c47298b7b7770a5c50.worker.js (1)
[1010/003853.503:INFO:CONSOLE(7)] "Dexie.delete('model-storage') was blocked", source: https://web.whatsapp.com/vendor1~bootstrap_qr.209e2422be3255e9cea6.js (7)
[1010/003901.037:INFO:CONSOLE(0)] "The Content Security Policy directive 'upgrade-insecure-requests' is ignored when delivered in a report-only policy.", source: https://web.whatsapp.com/ (0)
[1010/003901.054:INFO:CONSOLE(1)] "[Report Only] Refused to apply inline style because it violates the following Content Security Policy directive: "default-src 'self' data: blob:". Either the 'unsafe-inline' keyword, a hash ('sha256-8StEYqCRZcc6KLATZgvty1WmbhiLWXhDGKW8XNZQ9So='), or a nonce ('nonce-...') is required to enable inline execution. Note also that 'style-src' was not explicitly set, so 'default-src' is used as a fallback.
", source: https://web.whatsapp.com/ (1)
